10/01/2024 : 06:43 :   ****** DOWNLOAD ******

10/01/2024 : 06:43 :   **** Set up ****
10/01/2024 : 06:43 :   Download event Id is 102261
10/01/2024 : 06:43 :   
10/01/2024 : 06:43 :   Source_id is 100120
10/01/2024 : 06:43 :   Type_id is 111
10/01/2024 : 06:43 :   Cutoff date is 2020-09-23
10/01/2024 : 06:43 :   Calling ObtainDataFromSourceAsync...
10/01/2024 : 06:58 :   21250 files processed, 14 added, after 850 calls 
10/01/2024 : 06:59 :   21500 files processed, 14 added, after 860 calls 
10/01/2024 : 06:59 :   21750 files processed, 14 added, after 870 calls 
10/01/2024 : 06:59 :   22000 files processed, 14 added, after 880 calls 
10/01/2024 : 06:59 :   22250 files processed, 14 added, after 890 calls 
10/01/2024 : 06:59 :   22500 files processed, 14 added, after 900 calls 
10/01/2024 : 06:59 :   22750 files processed, 14 added, after 910 calls 
10/01/2024 : 07:00 :   23000 files processed, 14 added, after 920 calls 
10/01/2024 : 07:00 :   23250 files processed, 14 added, after 930 calls 
10/01/2024 : 07:00 :   23500 files processed, 14 added, after 940 calls 
10/01/2024 : 07:00 :   23750 files processed, 14 added, after 950 calls 
10/01/2024 : 07:00 :   24000 files processed, 14 added, after 960 calls 
10/01/2024 : 07:00 :   24250 files processed, 14 added, after 970 calls 
10/01/2024 : 07:01 :   24500 files processed, 14 added, after 980 calls 
10/01/2024 : 07:01 :   24750 files processed, 14 added, after 990 calls 
10/01/2024 : 07:01 :   25000 files processed, 14 added, after 1000 calls  (out of 10520)
10/01/2024 : 07:01 :   25250 files processed, 15 added, after 1010 calls 
10/01/2024 : 07:01 :   25500 files processed, 15 added, after 1020 calls 
10/01/2024 : 07:02 :   25750 files processed, 15 added, after 1030 calls 
10/01/2024 : 07:02 :   26000 files processed, 15 added, after 1040 calls 
10/01/2024 : 07:02 :   26250 files processed, 16 added, after 1050 calls 
10/01/2024 : 07:02 :   26500 files processed, 16 added, after 1060 calls 
10/01/2024 : 07:02 :   26750 files processed, 16 added, after 1070 calls 
10/01/2024 : 07:02 :   27000 files processed, 16 added, after 1080 calls 
10/01/2024 : 07:03 :   27250 files processed, 17 added, after 1090 calls 
10/01/2024 : 07:03 :   27500 files processed, 17 added, after 1100 calls 
10/01/2024 : 07:03 :   27750 files processed, 17 added, after 1110 calls 
10/01/2024 : 07:03 :   28000 files processed, 17 added, after 1120 calls 
10/01/2024 : 07:03 :   28250 files processed, 18 added, after 1130 calls 
10/01/2024 : 07:03 :   28500 files processed, 18 added, after 1140 calls 
10/01/2024 : 07:04 :   28750 files processed, 18 added, after 1150 calls 
10/01/2024 : 07:04 :   29000 files processed, 18 added, after 1160 calls 
10/01/2024 : 07:04 :   29250 files processed, 18 added, after 1170 calls 
10/01/2024 : 07:04 :   29500 files processed, 19 added, after 1180 calls 
10/01/2024 : 07:04 :   29750 files processed, 19 added, after 1190 calls 
10/01/2024 : 07:04 :   30000 files processed, 19 added, after 1200 calls  (out of 10520)
10/01/2024 : 07:05 :   30250 files processed, 19 added, after 1210 calls 
10/01/2024 : 07:05 :   30500 files processed, 20 added, after 1220 calls 
10/01/2024 : 07:05 :   30750 files processed, 20 added, after 1230 calls 
10/01/2024 : 07:05 :   31000 files processed, 20 added, after 1240 calls 
10/01/2024 : 07:05 :   31250 files processed, 20 added, after 1250 calls 
10/01/2024 : 07:06 :   31500 files processed, 20 added, after 1260 calls 
10/01/2024 : 07:06 :   31750 files processed, 20 added, after 1270 calls 
10/01/2024 : 07:06 :   32000 files processed, 20 added, after 1280 calls 
10/01/2024 : 07:06 :   32250 files processed, 21 added, after 1290 calls 
10/01/2024 : 07:06 :   32500 files processed, 21 added, after 1300 calls 
10/01/2024 : 07:06 :   32750 files processed, 21 added, after 1310 calls 
10/01/2024 : 07:07 :   33000 files processed, 21 added, after 1320 calls 
10/01/2024 : 07:07 :   33250 files processed, 22 added, after 1330 calls 
10/01/2024 : 07:07 :   33500 files processed, 22 added, after 1340 calls 
10/01/2024 : 07:07 :   33750 files processed, 22 added, after 1350 calls 
10/01/2024 : 07:07 :   34000 files processed, 22 added, after 1360 calls 
10/01/2024 : 07:07 :   34250 files processed, 22 added, after 1370 calls 
10/01/2024 : 07:08 :   34500 files processed, 22 added, after 1380 calls 
10/01/2024 : 07:08 :   34750 files processed, 22 added, after 1390 calls 
10/01/2024 : 07:08 :   35000 files processed, 24 added, after 1400 calls  (out of 10520)
10/01/2024 : 07:08 :   35250 files processed, 24 added, after 1410 calls 
10/01/2024 : 07:08 :   35500 files processed, 24 added, after 1420 calls 
10/01/2024 : 07:09 :   35750 files processed, 24 added, after 1430 calls 
10/01/2024 : 07:09 :   36000 files processed, 24 added, after 1440 calls 
10/01/2024 : 07:09 :   36250 files processed, 25 added, after 1450 calls 
10/01/2024 : 07:09 :   36500 files processed, 25 added, after 1460 calls 
10/01/2024 : 07:09 :   36750 files processed, 25 added, after 1470 calls 
10/01/2024 : 07:09 :   37000 files processed, 25 added, after 1480 calls 
10/01/2024 : 07:10 :   37250 files processed, 25 added, after 1490 calls 
10/01/2024 : 07:10 :   37500 files processed, 25 added, after 1500 calls 
10/01/2024 : 07:10 :   37750 files processed, 25 added, after 1510 calls 
10/01/2024 : 07:10 :   38000 files processed, 25 added, after 1520 calls 
10/01/2024 : 07:10 :   38250 files processed, 25 added, after 1530 calls 
10/01/2024 : 07:10 :   38500 files processed, 25 added, after 1540 calls 
10/01/2024 : 07:11 :   38750 files processed, 26 added, after 1550 calls 
10/01/2024 : 07:11 :   39000 files processed, 26 added, after 1560 calls 
10/01/2024 : 07:11 :   39250 files processed, 26 added, after 1570 calls 
10/01/2024 : 07:11 :   39500 files processed, 27 added, after 1580 calls 
10/01/2024 : 07:11 :   39750 files processed, 27 added, after 1590 calls 
10/01/2024 : 07:12 :   40000 files processed, 27 added, after 1600 calls  (out of 10520)
10/01/2024 : 07:12 :   40250 files processed, 27 added, after 1610 calls 
10/01/2024 : 07:12 :   40500 files processed, 27 added, after 1620 calls 
10/01/2024 : 07:12 :   40750 files processed, 27 added, after 1630 calls 
10/01/2024 : 07:12 :   41000 files processed, 27 added, after 1640 calls 
10/01/2024 : 07:12 :   41250 files processed, 27 added, after 1650 calls 
10/01/2024 : 07:13 :   41500 files processed, 27 added, after 1660 calls 
10/01/2024 : 07:13 :   41750 files processed, 27 added, after 1670 calls 
10/01/2024 : 07:13 :   42000 files processed, 27 added, after 1680 calls 
10/01/2024 : 07:13 :   42250 files processed, 27 added, after 1690 calls 
10/01/2024 : 07:13 :   42500 files processed, 27 added, after 1700 calls 
10/01/2024 : 07:14 :   42750 files processed, 27 added, after 1710 calls 
10/01/2024 : 07:14 :   43000 files processed, 27 added, after 1720 calls 
10/01/2024 : 07:14 :   43250 files processed, 27 added, after 1730 calls 
10/01/2024 : 07:14 :   43500 files processed, 27 added, after 1740 calls 
10/01/2024 : 07:14 :   43750 files processed, 28 added, after 1750 calls 
10/01/2024 : 07:14 :   44000 files processed, 28 added, after 1760 calls 
10/01/2024 : 07:15 :   44250 files processed, 28 added, after 1770 calls 
10/01/2024 : 07:15 :   44500 files processed, 28 added, after 1780 calls 
10/01/2024 : 07:15 :   44750 files processed, 28 added, after 1790 calls 
10/01/2024 : 07:15 :   45000 files processed, 29 added, after 1800 calls  (out of 10520)
10/01/2024 : 07:15 :   45250 files processed, 29 added, after 1810 calls 
10/01/2024 : 07:15 :   45500 files processed, 29 added, after 1820 calls 
10/01/2024 : 07:16 :   45750 files processed, 29 added, after 1830 calls 
10/01/2024 : 07:16 :   46000 files processed, 29 added, after 1840 calls 
10/01/2024 : 07:16 :   46250 files processed, 30 added, after 1850 calls 
10/01/2024 : 07:16 :   46500 files processed, 30 added, after 1860 calls 
10/01/2024 : 07:16 :   46750 files processed, 30 added, after 1870 calls 
10/01/2024 : 07:17 :   47000 files processed, 30 added, after 1880 calls 
10/01/2024 : 07:17 :   47250 files processed, 30 added, after 1890 calls 
10/01/2024 : 07:17 :   47500 files processed, 30 added, after 1900 calls 
10/01/2024 : 07:17 :   47750 files processed, 30 added, after 1910 calls 
10/01/2024 : 07:17 :   48000 files processed, 30 added, after 1920 calls 
10/01/2024 : 07:17 :   48250 files processed, 30 added, after 1930 calls 
10/01/2024 : 07:18 :   48500 files processed, 30 added, after 1940 calls 
10/01/2024 : 07:18 :   48750 files processed, 30 added, after 1950 calls 
10/01/2024 : 07:18 :   49000 files processed, 30 added, after 1960 calls 
10/01/2024 : 07:18 :   49250 files processed, 30 added, after 1970 calls 
